,0,1,2,3,4,5,6,7,8,9,10,11
"('Q128', 'Q129')",2408012004137362726,2408012004485431458,2408012005313058622,2408012006139089687,2408012006478063448,2408012007303481439,2408012008128040173,2408012008469285210,2408012009292307569,2408012010119294186,2408012010457901576,2408012011281257981
"('Q135', 'Q136')",2408012004139721625,2408012004489029078,2408012005315404381,2408012006141478426,2408012006480396975,2408012007305852092,2408012008130428927,2408012008471661417,2408012009294665171,2408012010121662857,2408012010460256179,2408012011283654104
"('Q139', 'Q140')",2408012004142121549,2408012004491427947,2408012005317748541,2408012006143829917,2408012006482805682,2408012007308251314,2408012008132861030,2408012008474069645,2408012009297056530,2408012010124066853,2408012010462647532,2408012011286004894
"('Q146', 'Q147')",2408012004144520890,2408012004493862971,2408012005320151571,2408012006146213240,2408012006485173500,2408012007310578056,2408012008135217474,2408012008476407646,2408012009299425849,2408012010126463753,2408012010465046936,2408012011288414804
"('Q154', 'Q155')",2408012004146897757,2408012004496537914,2408012005322551207,2408012006148602346,2408012006487571333,2408012007312957089,2408012008137594239,2408012008478817329,2408012009301863950,2408012010128776487,2408012010467449865,2408012011290759992
"('Q2', 'Q3')",2408012004149215028,2408012004499325379,2408012005324952388,2408012006151012658,2408012006489921261,2408012007315337883,2408012008139953038,2408012008481228352,2408012009304248246,2408012010131169703,2408012010469846154,2408012011293133987
"('Q10', 'Q11')",2408012004151577787,2408012004502363529,2408012005327298256,2408012006153449510,2408012006492299055,2408012007317714020,2408012008142363562,2408012008483645156,2408012009306627267,2408012010133610040,2408012010472229860,2408012011295483524
"('Q13', 'Q14')",2408012004153979696,2408012004504821804,2408012005329681573,2408012006155865044,2408012006494672047,2408012007320046963,2408012008144742509,2408012008485988824,2408012009309033500,2408012010135988826,2408012010474637952,2408012011297859946
"('Q17', 'Q18')",2408012004156355453,2408012004507239228,2408012005332049204,2408012006158303199,2408012006496991328,2408012007322423294,2408012008147111108,2408012008488339183,2408012009311405290,2408012010138319049,2408012010477037389,2408012011300214668
"('Q21', 'Q22')",2408012004158756817,2408012004509610287,2408012005334434641,2408012006160684754,2408012006499375489,2408012007324799880,2408012008149468516,2408012008490728717,2408012009313803975,2408012010140697908,2408012010479395927,2408012011302590705
"('Q28', 'Q29')",2408012004161163936,2408012004512136297,2408012005336828012,2408012006163060985,2408012006501751817,2408012007327175063,2408012008151791099,2408012008493091602,2408012009316199851,2408012010143064917,2408012010481755181,2408012011305000887
"('Q39', 'Q40')",2408012004163560882,2408012004514769823,2408012005339213078,2408012006165421525,2408012006504128206,2408012007329516497,2408012008154175542,2408012008495522574,2408012009318599623,2408012010145425933,2408012010484130682,2408012011307349385
"('Q43', 'Q44')",2408012004165931147,2408012004517835281,2408012005341590477,2408012006167813348,2408012006506540722,2408012007331919931,2408012008156587073,2408012008497888464,2408012009321027421,2408012010147794924,2408012010486580082,2408012011309769916
"('Q47', 'Q48')",2408012004168305668,2408012004520675751,2408012005343977943,2408012006170228318,2408012006508903855,2408012007334301764,2408012008159088944,2408012008500280038,2408012009323396457,2408012010150149055,2408012010488969908,2408012011312166514
"('Q54', 'Q55')",2408012004170717259,2408012004523053782,2408012005346397505,2408012006172628376,2408012006511256480,2408012007336679119,2408012008161491494,2408012008502630048,2408012009325780943,2408012010152577610,2408012010491367171,2408012011314572295
"('Q58', 'Q59')",2408012004173119704,2408012004525421722,2408012005348810654,2408012006175014359,2408012006513591956,2408012007339050062,2408012008163911011,2408012008505034591,2408012009328191337,2408012010154956788,2408012010493755299,2408012011316970653
"('Q69', 'Q70')",2408012004175480020,2408012004528025063,2408012005351190046,2408012006177362819,2408012006515933091,2408012007341426815,2408012008166349226,2408012008507389381,2408012009330581091,2408012010157322592,2408012010496193645,2408012011319321609
"('Q80', 'Q81')",2408012004177902199,2408012004530924109,2408012005353571775,2408012006179756080,2408012006518331513,2408012007343725340,2408012008168711270,2408012008509734740,2408012009332953610,2408012010159705016,2408012010498588701,2408012011321737128
"('Q84', 'Q85')",2408012004180304603,2408012004533822423,2408012005355956823,2408012006182174295,2408012006520739939,2408012007346090715,2408012008171151269,2408012008512110371,2408012009335340444,2408012010162095054,2408012010500993356,2408012011324098656
"('Q88', 'Q89')",2408012004182655473,2408012004536210875,2408012005358310108,2408012006184582253,2408012006523130364,2408012007348452310,2408012008173542164,2408012008514487499,2408012009337663281,2408012010164492545,2408012010503367662,2408012011326456384
"('Q91', 'Q92')",2408012004185459833,2408012004538603491,2408012005360667772,2408012006186944844,2408012006525542815,2408012007350858938,2408012008175918755,2408012008516902603,2408012009340069953,2408012010166862790,2408012010505747792,2408012011328810104
"('Q95', 'Q96')",2408012004187908889,2408012004541019344,2408012005363046016,2408012006189335168,2408012006528000294,2408012007353249156,2408012008178294720,2408012008519262941,2408012009342444365,2408012010169260523,2408012010508110180,2408012011331184324
"('Q106', 'Q107')",2408012004190590707,2408012004543415601,2408012005365437045,2408012006191701035,2408012006530313208,2408012007355607414,2408012008180643533,2408012008521645157,2408012009344818473,2408012010171757644,2408012010510524253,2408012011333587185
"('Q114', 'Q115')",2408012004193160295,2408012004545811578,2408012005367768119,2408012006194123179,2408012006532659958,2408012007357998157,2408012008183044014,2408012008524026374,2408012009347220145,2408012010174154533,2408012010512929361,2408012011335989281
"('Q121', 'Q122')",2408012004195628930,2408012004548169259,2408012005370108643,2408012006196473735,2408012006535018593,2408012007360404835,2408012008185384844,2408012008526414917,2408012009349623120,2408012010176511097,2408012010515306166,2408012011338399054
"('Q125', 'Q126')",2408012004198012420,2408012004550590208,2408012005372523914,2408012006198802915,2408012006537367320,2408012007362800892,2408012008187741535,2408012008528803686,2408012009352019258,2408012010178877861,2408012010517720887,2408012011340802058
"('Q132', 'Q133')",2408012004200498455,2408012004552966154,2408012005374908368,2408012006201196086,2408012006539737802,2408012007365132862,2408012008190118658,2408012008531174473,2408012009354348343,2408012010181256833,2408012010520103405,2408012011343211950
"('Q136', 'Q137')",2408012004202970629,2408012004555338148,2408012005377308154,2408012006203578649,2408012006542143631,2408012007367505611,2408012008192488738,2408012008533585195,2408012009356751783,2408012010183736997,2408012010522506281,2408012011345626624
"('Q143', 'Q144')",2408012004205370476,2408012004557922810,2408012005379686207,2408012006205963707,2408012006544511713,2408012007369856677,2408012008194859252,2408012008535958524,2408012009359501954,2408012010186143752,2408012010524861954,2408012011348012645
"('Q147', 'Q148')",2408012004207748661,2408012004560266615,2408012005382108785,2408012006208354998,2408012006546874809,2408012007372251818,2408012008197267011,2408012008538352433,2408012009361872370,2408012010188495741,2408012010527212492,2408012011350358069
"('Q151', 'Q152')",2408012004210374156,2408012004562634650,2408012005384431838,2408012006210712101,2408012006549267801,2408012007374629714,2408012008199622724,2408012008540757241,2408012009364252754,2408012010190860949,2408012010529619796,2408012011352778731
"('Q3', 'Q4')",2408012004212958164,2408012004565020757,2408012005386770812,2408012006213094037,2408012006551602134,2408012007376991092,2408012008202041907,2408012008543094382,2408012009366599866,2408012010193225810,2408012010532023977,2408012011355211438
"('Q7', 'Q8')",2408012004215543581,2408012004567423437,2408012005389172865,2408012006215446421,2408012006553999483,2408012007379383829,2408012008204403875,2408012008545486526,2408012009368966701,2408012010195583511,2408012010534412487,2408012011357607502
"('Q11', 'Q12')",2408012004218038980,2408012004569794359,2408012005391562656,2408012006217843527,2408012006556334859,2408012007381770275,2408012008206829602,2408012008547801739,2408012009371378925,2408012010197949106,2408012010536761682,2408012011360007749
"('Q14', 'Q15')",2408012004220720430,2408012004572231492,2408012005393895447,2408012006220183469,2408012006558660476,2408012007384178192,2408012008209211538,2408012008550182069,2408012009373942095,2408012010200331187,2408012010539162514,2408012011362386259
"('Q18', 'Q19')",2408012004223067150,2408012004574654907,2408012005396287296,2408012006222577106,2408012006561002446,2408012007386550110,2408012008211585689,2408012008552561823,2408012009376314639,2408012010202716235,2408012010541565262,2408012011364746889
"('Q22', 'Q23')",2408012004225665906,2408012004577039926,2408012005398694077,2408012006224966282,2408012006563358500,2408012007388875779,2408012008213966039,2408012008554910684,2408012009378702428,2408012010205105835,2408012010543936972,2408012011367144702
"('Q29', 'Q30')",2408012004228051544,2408012004579433322,2408012005401044285,2408012006227337564,2408012006565730112,2408012007391269869,2408012008216299638,2408012008557274255,2408012009381070948,2408012010207519120,2408012010546313634,2408012011369519300
"('Q40', 'Q41')",2408012004230447129,2408012004581821571,2408012005403412368,2408012006229674633,2408012006568086614,2408012007393622343,2408012008218658865,2408012008559669326,2408012009383474589,2408012010209868999,2408012010548715710,2408012011371881241
"('Q44', 'Q45')",2408012004232990081,2408012004584238940,2408012005405783800,2408012006232034444,2408012006570468509,2408012007396018583,2408012008221065648,2408012008562042527,2408012009385927391,2408012010212275702,2408012010551065965,2408012011374276407
"('Q48', 'Q49')",2408012004235378419,2408012004586596746,2408012005408171024,2408012006234455949,2408012006572873731,2408012007398424548,2408012008223420556,2408012008564424874,2408012009388327598,2408012010214655377,2408012010553436309,2408012011376669521
"('Q55', 'Q56')",2408012004237695375,2408012004588987869,2408012005410553544,2408012006236842123,2408012006575251154,2408012007400795738,2408012008225807334,2408012008566841167,2408012009390726435,2408012010217028096,2408012010555812554,2408012011379088882
"('Q59', 'Q60')",2408012004240082137,2408012004591367492,2408012005412911289,2408012006239208936,2408012006577608604,2408012007403157446,2408012008228143501,2408012008569219489,2408012009393074024,2408012010219409877,2408012010558134043,2408012011381508105
"('Q70', 'Q71')",2408012004242471608,2408012004593774783,2408012005415291379,2408012006241618105,2408012006579958302,2408012007405537090,2408012008230560385,2408012008571627842,2408012009395478856,2408012010221831072,2408012010560509036,2408012011383938873
"('Q81', 'Q82')",2408012004244859770,2408012004596142954,2408012005417635098,2408012006243957239,2408012006582354474,2408012007407920806,2408012008232907394,2408012008574019076,2408012009397879266,2408012010224229622,2408012010562917458,2408012011386313475
