,0,1,2,3,4,5,6,7,8,9,10,11
C141,0.9859375,0.9142578125,0.98203125,0.90234375,0.90546875,0.9111328125,0.9001953125,0.9013671875,0.897265625,0.8060546875,0.8681640625,0.8306640625
C145,0.8109375,0.7318359375,0.823046875,0.816015625,0.9544921875,0.95546875,0.9556640625,0.955859375,0.782421875,0.709765625,0.78828125,0.558984375
C149,0.9537109375,0.8818359375,0.9451171875,0.8810546875,0.955859375,0.9478515625,0.90625,0.90625,0.899609375,0.8275390625,0.839453125,0.7939453125
C163,0.9841796875,0.980078125,0.984375,0.9791015625,0.9939453125,0.99609375,0.9890625,0.9826171875,0.9787109375,0.973046875,0.969921875,0.8685546875
C172,0.990234375,0.8861328125,0.9908203125,0.8890625,0.9943359375,0.99765625,0.937890625,0.936328125,0.983984375,0.876953125,0.9248046875,0.83125
C180,0.971875,0.93046875,0.971484375,0.930078125,0.99296875,0.9919921875,0.956640625,0.959375,0.96171875,0.9189453125,0.934375,0.8873046875
C1,0.983203125,0.899609375,0.98125,0.9130859375,0.9912109375,0.9908203125,0.9568359375,0.9541015625,0.9689453125,0.9001953125,0.93046875,0.876953125
C9,0.9841796875,0.978125,0.9888671875,0.9673828125,0.9720703125,0.973046875,0.9537109375,0.9466796875,0.9599609375,0.9451171875,0.9412109375,0.65390625
C18,0.9708984375,0.830078125,0.9685546875,0.8220703125,0.919140625,0.9068359375,0.8609375,0.8228515625,0.8828125,0.722265625,0.9001953125,0.772265625
C22,0.9921875,0.9744140625,0.99375,0.9744140625,0.98125,0.98515625,0.9767578125,0.9759765625,0.9744140625,0.96015625,0.9666015625,0.9455078125
C32,0.98515625,0.93203125,0.9869140625,0.933984375,0.9908203125,0.9890625,0.939453125,0.9376953125,0.97734375,0.9216796875,0.9291015625,0.8857421875
C36,0.9494140625,0.869140625,0.94921875,0.8681640625,0.937109375,0.9447265625,0.8568359375,0.8767578125,0.8982421875,0.8107421875,0.84765625,0.670703125
C40,0.983984375,0.956640625,0.9837890625,0.9693359375,0.98046875,0.97734375,0.9544921875,0.93203125,0.9578125,0.951171875,0.9328125,0.9033203125
C49,0.9900390625,0.89765625,0.9912109375,0.930078125,0.985546875,0.9873046875,0.9599609375,0.95546875,0.976171875,0.91875,0.945703125,0.856640625
C53,0.9908203125,0.9337890625,0.9931640625,0.9466796875,0.9873046875,0.985546875,0.941796875,0.9359375,0.9771484375,0.921875,0.9412109375,0.8873046875
C57,0.99140625,0.940625,0.989453125,0.9263671875,0.990234375,0.9876953125,0.9369140625,0.937890625,0.9833984375,0.9271484375,0.9251953125,0.8658203125
C67,0.97578125,0.958203125,0.972265625,0.964453125,0.9736328125,0.975390625,0.7228515625,0.790625,0.95,0.93125,0.7359375,0.6904296875
C71,0.9845703125,0.9525390625,0.9849609375,0.9388671875,0.9919921875,0.990625,0.9642578125,0.9662109375,0.9732421875,0.9453125,0.949609375,0.919921875
C80,0.9845703125,0.943359375,0.9841796875,0.9390625,0.989453125,0.9876953125,0.9359375,0.940625,0.973828125,0.9248046875,0.923828125,0.8705078125
C84,0.98359375,0.9328125,0.9802734375,0.930078125,0.9685546875,0.976171875,0.9142578125,0.9359375,0.95703125,0.902734375,0.90625,0.8193359375
C88,0.9880859375,0.93984375,0.988671875,0.9404296875,0.98203125,0.98515625,0.917578125,0.898828125,0.9763671875,0.9255859375,0.882421875,0.869140625
C94,0.9923828125,0.928515625,0.9923828125,0.9265625,0.9958984375,0.993359375,0.9294921875,0.9181640625,0.9900390625,0.925,0.9236328125,0.850390625
C98,0.983984375,0.9376953125,0.981640625,0.9166015625,0.9564453125,0.95859375,0.8943359375,0.89765625,0.9349609375,0.9025390625,0.8783203125,0.853515625
C102,0.98671875,0.8939453125,0.9845703125,0.8708984375,0.9896484375,0.990234375,0.9556640625,0.9568359375,0.9783203125,0.88203125,0.9412109375,0.4576171875
C111,0.9716796875,0.928125,0.9748046875,0.934765625,0.991015625,0.993359375,0.9373046875,0.933984375,0.9658203125,0.9271484375,0.9130859375,0.866015625
